userId	geneSymbol	geneName	entrezgene	gLink
PNPLA3	PNPLA3	patatin like phospholipase domain containing 3	80339	https://www.ncbi.nlm.nih.gov/gene/?term=80339
POTEE	POTEE	POTE ankyrin domain family member E	445582	https://www.ncbi.nlm.nih.gov/gene/?term=445582
POU2F2	POU2F2	POU class 2 homeobox 2	5452	https://www.ncbi.nlm.nih.gov/gene/?term=5452
PPARD	PPARD	peroxisome proliferator activated receptor delta	5467	https://www.ncbi.nlm.nih.gov/gene/?term=5467
PPM1F	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F	9647	https://www.ncbi.nlm.nih.gov/gene/?term=9647
PPM1H	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H	57460	https://www.ncbi.nlm.nih.gov/gene/?term=57460
PPM1J	PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J	333926	https://www.ncbi.nlm.nih.gov/gene/?term=333926
PPM1K	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	152926	https://www.ncbi.nlm.nih.gov/gene/?term=152926
PPME1	PPME1	protein phosphatase methylesterase 1	51400	https://www.ncbi.nlm.nih.gov/gene/?term=51400
PREX1	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	57580	https://www.ncbi.nlm.nih.gov/gene/?term=57580
PRKACB	PRKACB	protein kinase cAMP-activated catalytic subunit beta	5567	https://www.ncbi.nlm.nih.gov/gene/?term=5567
PRKCQ	PRKCQ	protein kinase C theta	5588	https://www.ncbi.nlm.nih.gov/gene/?term=5588
PRRT3	PRRT3	proline rich transmembrane protein 3	285368	https://www.ncbi.nlm.nih.gov/gene/?term=285368
PRX	PRX	periaxin	57716	https://www.ncbi.nlm.nih.gov/gene/?term=57716
PSG9	PSG9	pregnancy specific beta-1-glycoprotein 9	5678	https://www.ncbi.nlm.nih.gov/gene/?term=5678
PSME1	PSME1	proteasome activator subunit 1	5720	https://www.ncbi.nlm.nih.gov/gene/?term=5720
PTGER4	PTGER4	prostaglandin E receptor 4	5734	https://www.ncbi.nlm.nih.gov/gene/?term=5734
PTPRJ	PTPRJ	protein tyrosine phosphatase receptor type J	5795	https://www.ncbi.nlm.nih.gov/gene/?term=5795
PTPRM	PTPRM	protein tyrosine phosphatase receptor type M	5797	https://www.ncbi.nlm.nih.gov/gene/?term=5797
PTTG1IP	PTTG1IP	PTTG1 interacting protein	754	https://www.ncbi.nlm.nih.gov/gene/?term=754
