userId	geneSymbol	geneName	entrezgene	gLink
EID3	EID3	EP300 interacting inhibitor of differentiation 3	493861	https://www.ncbi.nlm.nih.gov/gene/?term=493861
EIF2AK2	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	5610	https://www.ncbi.nlm.nih.gov/gene/?term=5610
EIF2B3	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma	8891	https://www.ncbi.nlm.nih.gov/gene/?term=8891
EIF4E3	EIF4E3	eukaryotic translation initiation factor 4E family member 3	317649	https://www.ncbi.nlm.nih.gov/gene/?term=317649
EIF4EBP2	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	1979	https://www.ncbi.nlm.nih.gov/gene/?term=1979
EIF4HP2	EIF4HP2	eukaryotic translation initiation factor 4H pseudogene 2	100421545	https://www.ncbi.nlm.nih.gov/gene/?term=100421545
EIF5A2	EIF5A2	eukaryotic translation initiation factor 5A2	56648	https://www.ncbi.nlm.nih.gov/gene/?term=56648
ELF3	ELF3	E74 like ETS transcription factor 3	1999	https://www.ncbi.nlm.nih.gov/gene/?term=1999
ELFN2	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	114794	https://www.ncbi.nlm.nih.gov/gene/?term=114794
ELK3	ELK3	ETS transcription factor ELK3	2004	https://www.ncbi.nlm.nih.gov/gene/?term=2004
ELL2	ELL2	elongation factor for RNA polymerase II 2	22936	https://www.ncbi.nlm.nih.gov/gene/?term=22936
ELMO3	ELMO3	engulfment and cell motility 3	79767	https://www.ncbi.nlm.nih.gov/gene/?term=79767
ELMOD3	ELMOD3	ELMO domain containing 3	84173	https://www.ncbi.nlm.nih.gov/gene/?term=84173
ELOVL5	ELOVL5	ELOVL fatty acid elongase 5	60481	https://www.ncbi.nlm.nih.gov/gene/?term=60481
EMB	EMB	embigin	133418	https://www.ncbi.nlm.nih.gov/gene/?term=133418
EMC10	EMC10	ER membrane protein complex subunit 10	284361	https://www.ncbi.nlm.nih.gov/gene/?term=284361
EMC3-AS1	EMC3-AS1	EMC3 antisense RNA 1	442075	https://www.ncbi.nlm.nih.gov/gene/?term=442075
EMID1	EMID1	EMI domain containing 1	129080	https://www.ncbi.nlm.nih.gov/gene/?term=129080
EMILIN2	EMILIN2	elastin microfibril interfacer 2	84034	https://www.ncbi.nlm.nih.gov/gene/?term=84034
EMP1	EMP1	epithelial membrane protein 1	2012	https://www.ncbi.nlm.nih.gov/gene/?term=2012
EMP2	EMP2	epithelial membrane protein 2	2013	https://www.ncbi.nlm.nih.gov/gene/?term=2013
ENC1	ENC1	ectodermal-neural cortex 1	8507	https://www.ncbi.nlm.nih.gov/gene/?term=8507
ENDOD1	ENDOD1	endonuclease domain containing 1	23052	https://www.ncbi.nlm.nih.gov/gene/?term=23052
ENDOV	ENDOV	endonuclease V	284131	https://www.ncbi.nlm.nih.gov/gene/?term=284131
ENOX1	ENOX1	ecto-NOX disulfide-thiol exchanger 1	55068	https://www.ncbi.nlm.nih.gov/gene/?term=55068
ENPEP	ENPEP	glutamyl aminopeptidase	2028	https://www.ncbi.nlm.nih.gov/gene/?term=2028
ENTPD2	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	954	https://www.ncbi.nlm.nih.gov/gene/?term=954
ENTPD3	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	956	https://www.ncbi.nlm.nih.gov/gene/?term=956
ENTPD6	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6	955	https://www.ncbi.nlm.nih.gov/gene/?term=955
EOMES	EOMES	eomesodermin	8320	https://www.ncbi.nlm.nih.gov/gene/?term=8320
EPB41L4A	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A	64097	https://www.ncbi.nlm.nih.gov/gene/?term=64097
EPB41L4B	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	54566	https://www.ncbi.nlm.nih.gov/gene/?term=54566
EPB41L5	EPB41L5	erythrocyte membrane protein band 4.1 like 5	57669	https://www.ncbi.nlm.nih.gov/gene/?term=57669
EPCAM	EPCAM	epithelial cell adhesion molecule	4072	https://www.ncbi.nlm.nih.gov/gene/?term=4072
EPG5	EPG5	ectopic P-granules 5 autophagy tethering factor	57724	https://www.ncbi.nlm.nih.gov/gene/?term=57724
EPGN	EPGN	epithelial mitogen	255324	https://www.ncbi.nlm.nih.gov/gene/?term=255324
EPHA1	EPHA1	EPH receptor A1	2041	https://www.ncbi.nlm.nih.gov/gene/?term=2041
EPHA1-AS1	EPHA1-AS1	EPHA1 antisense RNA 1	285965	https://www.ncbi.nlm.nih.gov/gene/?term=285965
EPHB2	EPHB2	EPH receptor B2	2048	https://www.ncbi.nlm.nih.gov/gene/?term=2048
EPHB3	EPHB3	EPH receptor B3	2049	https://www.ncbi.nlm.nih.gov/gene/?term=2049
EPHB4	EPHB4	EPH receptor B4	2050	https://www.ncbi.nlm.nih.gov/gene/?term=2050
EPHB6	EPHB6	EPH receptor B6	2051	https://www.ncbi.nlm.nih.gov/gene/?term=2051
EPHX1	EPHX1	epoxide hydrolase 1	2052	https://www.ncbi.nlm.nih.gov/gene/?term=2052
